g	tid	alder	Mænd	Kvinder	
I ALT	1996	0 år	219	157
I ALT	1996	1-4 år	46	41
I ALT	1996	5-9 år	26	18
I ALT	1996	10-14 år	31	23
I ALT	1996	15-19 år	94	40
I ALT	1996	20-24 år	168	52
I ALT	1996	25-29 år	171	84
I ALT	1996	30-34 år	293	119
I ALT	1996	35-39 år	357	193
I ALT	1996	40-44 år	599	316
I ALT	1996	45-49 år	818	542
I ALT	1996	50-54 år	1273	814
I ALT	1996	55-59 år	1524	970
I ALT	1996	60-64 år	2124	1510
I ALT	1996	65-69 år	3128	2229
I ALT	1996	70-74 år	4290	3180
I ALT	1996	75-79 år	5047	4327
I ALT	1996	80-84 år	4799	5469
I ALT	1996	85- år	5381	10571
