"Døde efter dødsårsag, køn, alder og tid"

" "," "," ","1996","2018"
"I ALT"
" ","Mænd"
" "," ","0 år",219,130
" "," ","1-4 år",46,17
" "," ","5-9 år",26,12
" "," ","10-14 år",31,13
" "," ","15-19 år",94,57
" "," ","20-24 år",168,60
" "," ","25-29 år",171,96
" "," ","30-34 år",293,114
" "," ","35-39 år",357,136
" "," ","40-44 år",599,242
" "," ","45-49 år",818,405
" "," ","50-54 år",1273,790
" "," ","55-59 år",1524,1219
" "," ","60-64 år",2124,1795
" "," ","65-69 år",3128,2609
" "," ","70-74 år",4290,3941
" "," ","75-79 år",5047,4203
" "," ","80-84 år",4799,4581
" "," ","85- år",5381,7572
" ","Kvinder"
" "," ","0 år",157,96
" "," ","1-4 år",41,11
" "," ","5-9 år",18,9
" "," ","10-14 år",23,6
" "," ","15-19 år",40,20
" "," ","20-24 år",52,19
" "," ","25-29 år",84,34
" "," ","30-34 år",119,61
" "," ","35-39 år",193,92
" "," ","40-44 år",316,155
" "," ","45-49 år",542,244
" "," ","50-54 år",814,482
" "," ","55-59 år",970,779
" "," ","60-64 år",1510,1126
" "," ","65-69 år",2229,1765
" "," ","70-74 år",3180,2778
" "," ","75-79 år",4327,3349
" "," ","80-84 år",5469,4182
" "," ","85- år",10571,12032

