Døde efter dødsårsag, tid, alder og køn

" ,"" "","" "",""Mænd"",""Kvinder"""

" ,""1996"""
" ,"" "",""20-24 år"",0,0"
" ,"" "",""25-29 år"",0,0"
" ,"" "",""30-34 år"",2,2"
" ,"" "",""35-39 år"",9,7"
" ,"" "",""40-44 år"",29,18"
" ,"" "",""45-49 år"",56,47"
" ,"" "",""50-54 år"",117,90"
" ,"" "",""55-59 år"",154,121"
" ,"" "",""60-64 år"",254,200"
" ,"" "",""65-69 år"",374,264"
" ,"" "",""70-74 år"",453,213"
" ,"" "",""75-79 år"",363,163"
" ,"" "",""80-84 år"",246,120"
" ,"" "",""85- år"",135,70"
