village nwell conc
1   1   10    
2   1   11    
3   5   10 
3   5   10 
3   5   30 
3   5   259
3   5   770 
4   1   32    
5   1   32   
6   1   42   
7   1   45  
8   2   20  
8   2   80
9   2   53  
9   2   58
10   1   60
11   1   65
12   1   73
13   1   80
14   1   100 
15   5   10  
15   5 85
15   5 110
15   5  288
15   5 686 
16   7   20  
16   7   50
16   7   110
16   7    110
16   7    190
16   7   580
16   7    590  
17   2   73
17   2  172  
18   1   126  
19   1   256 
20   1   256 
21   6   148
21   6     198
21   6     242
21   6     276 
21   6    291 
21   6    458 
22   1   307  
23   1   307  
24   2   340  
24   2 360 
25   2    310
25   2  485  
26   11  120
26   11    170
26   11    229
26   11    260
26   11    260
26   11    406
26   11    469
26   11    485
26   11    595
26   11    779
26   11    819 
27   1   448 
28   1   467  
29   1   504    
30   5   50  
30   5   394  
30   5   520  
30   5   610  
30   5   1752 
31   47   20
31   47     20
31   47     20
31   47      30
31   47      90 
31   47    100 
31   47    110 
31   47    120 
31   47    120 
31   47    160 
31   47    190 
31   47    230 
31   47    240
31   47     250 
31   47    270  
31   47   270  
31   47   290  
31   47   290 
31   47    350 
31   47    370 
31   47   410  
31   47   430  
31   47   450  
31   47   510  
31   47   520  
31   47   540  
31   47   560  
31   47   660 
31   47    700 
31   47     730  
31   47   740 
31   47    760 
31   47    760 
31   47    760 
31   47    780 
31   47    810 
31   47    810 
31   47    840 
31   47   840 
31   47    850 
31   47    850 
31   47    850 
31   47    870 
31   47    880 
31   47    900  
31   47   930  
31   47   940  
31   47   970
32   2    529
32   2   529 
33   2    480
33   2   595 
34    1    544 
35    10   560
35    10     580 
35    10    580 
35    10    590 
35    10    597 
35    10    600 
35    10    618 
35    10    620  
35    10   650  
35    10   704 
36   2   620  
36 2 680 
37   2   630
37 2   735 
38   2   435
38 2   950  
39    5   415
39    5     660
39    5     694
39    5     720
39    5     749 
40   5    397  
40   5    440 
40   5     698 
40   5     750 
40   5     1010 
41   4    221
41   4      329 
41   4     1105 
41   4     1411 
42   3   560 
42 3  934
42 3   960 
